-	(x < -20.0)	(x < -18.0)	(x < -9.0)	(x < -1.0)	(x < 18.0)	(x >= -6.0)	(x >= 2.0)	(x >= 5.0)	(x >= -8.0)	(x >= 12.0)	(G[13.0,14.0](x < 13.0))	(G[5.0,8.0](x < -15.0))	(G[15.0,17.0](x < 8.0))	(G[12.0,18.0](x < 8.0))	(G[2.0,19.0](x < 12.0))	(G[18.0,20.0](x >= 8.0))	(G[2.0,12.0](x >= 5.0))	(G[3.0,9.0](x >= -13.0))	(G[11.0,13.0](x >= -2.0))	(G[2.0,14.0](x >= 7.0))	(F[9.0,19.0](x < 5.0))	(F[14.0,20.0](x < 16.0))	(F[9.0,11.0](x < 6.0))	(F[11.0,14.0](x < -9.0))	(F[4.0,12.0](x < -4.0))	(F[12.0,20.0](x >= 9.0))	(F[11.0,17.0](x >= -8.0))	(F[0.0,14.0](x >= 1.0))	(F[16.0,19.0](x >= 11.0))	(F[7.0,15.0](x >= 12.0))	((F[9.0,19.0](x < 5.0)) && (G[12.0,18.0](x < 8.0)))	((x < -9.0) && (G[5.0,8.0](x < -15.0)))	((x >= -6.0) && (G[5.0,8.0](x < -15.0)))	((G[18.0,20.0](x >= 8.0)) && (G[2.0,19.0](x < 12.0)))	((G[3.0,9.0](x >= -13.0)) && (F[11.0,17.0](x >= -8.0)))	((x < -9.0) || (x >= 5.0))	((G[2.0,19.0](x < 12.0)) || (F[9.0,19.0](x < 5.0)))	((G[2.0,19.0](x < 12.0)) || (G[13.0,14.0](x < 13.0)))	((F[11.0,17.0](x >= -8.0)) || (x >= 12.0))	((G[3.0,9.0](x >= -13.0)) || (F[16.0,19.0](x >= 11.0)))
(x < -20.0)	0	2	11	19	38	54	62	65	52	72	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	135	199	195	199	65	65	78	197	65	199	73	197	199
(x < -18.0)	-2	0	9	17	36	52	60	63	50	70	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	133	199	195	199	65	65	78	197	63	199	73	197	199
(x < -9.0)	-11	-9	0	8	27	43	51	54	41	61	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	124	199	195	199	65	65	78	197	54	199	73	197	199
(x < -1.0)	-19	-17	-8	0	19	35	43	46	33	53	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	116	199	195	199	65	65	78	197	46	199	73	197	199
(x < 18.0)	-38	-36	-27	-19	0	16	24	27	14	34	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	97	199	195	199	65	65	78	197	27	199	73	197	199
(x >= -6.0)	54	52	43	35	16	0	-8	-11	2	-18	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	67	199	195	199	65	65	78	197	43	199	73	197	199
(x >= 2.0)	62	60	51	43	24	8	0	-3	10	-10	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	75	199	195	199	65	65	78	197	51	199	73	197	199
(x >= 5.0)	65	63	54	46	27	11	3	0	13	-7	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	78	199	195	199	65	65	78	197	54	199	73	197	199
(x >= -8.0)	52	50	41	33	14	-2	-10	-13	0	-20	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	65	199	195	199	65	65	78	197	41	199	73	197	199
(x >= 12.0)	72	70	61	53	34	18	10	7	20	0	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	85	199	195	199	65	65	78	197	61	199	73	197	199
(G[13.0,14.0](x < 13.0))	100	102	111	119	138	154	162	165	152	172	0	66	61	-5	-1	64	62	65	122	34	125	129	118	102	119	164	146	174	163	172	125	111	154	64	146	165	125	0	172	163
(G[5.0,8.0](x < -15.0))	240	242	251	259	278	294	302	305	292	312	190	0	191	184	27	194	60	42	187	62	271	283	264	252	257	316	296	312	317	314	271	251	294	194	296	305	271	190	312	317
(G[15.0,17.0](x < 8.0))	167	169	178	186	205	221	229	232	219	239	123	129	0	0	4	123	125	128	124	123	191	193	184	168	185	230	212	240	225	238	191	178	221	123	212	232	191	123	239	225
(G[12.0,18.0](x < 8.0))	404	406	415	423	442	458	466	469	456	476	366	370	303	0	4	370	430	369	391	388	424	430	417	401	418	463	445	473	464	471	424	415	458	370	445	469	424	366	476	464
(G[2.0,19.0](x < 12.0))	1050	1052	1061	1069	1088	1104	1112	1115	1102	1122	1032	822	965	706	0	1632	810	811	1021	780	1073	1085	1066	1054	1057	1118	1098	1108	1119	1116	1073	1061	1104	1632	1098	1115	1073	1032	1122	1119
(G[18.0,20.0](x >= 8.0))	266	264	255	247	228	212	204	201	214	194	126	132	123	186	172	0	128	131	127	126	240	220	231	245	252	191	207	217	180	193	240	255	212	172	207	255	240	172	207	180
(G[2.0,12.0](x >= 5.0))	727	725	716	708	689	673	665	662	675	655	620	663	621	614	33	624	0	409	670	-2	707	697	698	716	709	664	678	670	661	656	707	716	673	624	678	716	707	620	678	661
(G[3.0,9.0](x >= -13.0))	470	468	459	451	432	416	408	405	418	398	375	368	376	369	15	379	-18	0	372	-20	452	442	443	461	454	409	423	417	406	401	452	459	416	379	423	459	452	375	423	406
(G[11.0,13.0](x >= -2.0))	249	247	238	230	211	195	187	184	197	177	123	125	124	180	26	127	122	124	0	-9	223	209	214	228	235	176	190	200	173	176	223	238	195	127	190	238	223	123	190	173
(G[2.0,14.0](x >= 7.0))	849	847	838	830	811	795	787	784	797	777	765	789	743	1128	35	746	200	541	687	0	827	817	818	836	829	784	798	790	781	776	1128	838	795	746	798	838	827	765	798	781
(F[9.0,19.0](x < 5.0))	54	56	65	73	92	108	116	119	106	126	8	51	3	3	67	43	107	92	33	107	0	80	1	-14	58	109	27	101	46	111	3	65	108	67	92	119	67	67	126	92
(F[14.0,20.0](x < 16.0))	44	46	55	63	82	98	106	109	96	116	63	41	-8	54	57	32	97	82	89	97	50	0	119	41	108	93	79	91	35	101	54	55	98	57	82	109	57	63	116	82
(F[9.0,11.0](x < 6.0))	45	47	56	64	83	99	107	110	97	117	72	42	68	61	58	111	98	83	32	98	51	131	0	46	49	160	84	92	171	102	61	56	99	111	84	110	58	72	117	171
(F[11.0,14.0](x < -9.0))	63	65	74	82	101	117	125	128	115	135	22	60	82	17	76	125	116	101	47	116	69	85	78	0	67	114	98	110	185	120	69	74	117	125	101	128	76	76	135	185
(F[4.0,12.0](x < -4.0))	56	58	67	75	94	110	118	121	108	128	93	-11	89	12	69	132	109	94	42	109	72	152	10	67	0	121	105	103	192	119	72	67	110	132	105	121	72	93	128	192
(F[12.0,20.0](x >= 9.0))	149	147	138	130	111	95	87	84	97	77	36	136	41	41	98	1	72	93	78	68	105	33	172	124	121	0	80	74	-2	62	105	138	136	98	93	138	105	98	80	93
(F[11.0,17.0](x >= -8.0))	129	127	118	110	91	75	67	64	77	57	19	116	24	24	78	55	52	73	-6	48	85	79	92	41	101	42	0	54	49	42	85	118	116	78	73	118	85	78	57	73
(F[0.0,14.0](x >= 1.0))	75	73	64	56	37	21	13	10	23	3	28	56	120	33	29	83	-4	14	3	-6	109	107	35	50	45	70	88	0	137	62	109	64	56	83	88	64	109	29	88	137
(F[16.0,19.0](x >= 11.0))	150	148	139	131	112	96	88	85	98	78	103	137	105	104	99	3	73	94	79	69	106	94	173	185	182	61	81	135	0	123	106	139	137	99	94	139	106	103	81	94
(F[7.0,15.0](x >= 12.0))	147	145	136	128	109	93	85	82	95	75	39	134	44	44	96	81	70	91	14	66	107	105	46	61	119	68	86	72	135	0	107	136	134	96	91	136	107	96	86	135
((F[9.0,19.0](x < 5.0)) && (G[12.0,18.0](x < 8.0)))	404	406	415	423	442	458	466	469	456	476	366	370	303	3	67	370	430	369	391	388	424	430	417	401	418	463	445	473	464	471	0	370	370	43	369	199	3	125	85	106
((x < -9.0) && (G[5.0,8.0](x < -15.0)))	240	242	251	259	278	294	302	305	292	312	190	65	191	184	62	194	62	63	187	62	271	283	264	252	257	316	296	312	317	314	199	0	43	78	197	65	65	111	65	139
((x >= -6.0) && (G[5.0,8.0](x < -15.0)))	240	242	251	259	278	294	302	305	292	312	190	65	191	184	62	194	62	63	187	62	271	283	264	252	257	316	296	312	317	314	199	43	0	78	197	65	108	154	65	137
((G[18.0,20.0](x >= 8.0)) && (G[2.0,19.0](x < 12.0)))	1050	1052	1061	1069	1088	1104	1112	1115	1102	1122	1032	822	965	706	172	1632	810	811	1021	780	1073	1085	1066	1054	1057	1118	1098	1108	1119	1116	706	822	822	0	811	78	67	64	78	99
((G[3.0,9.0](x >= -13.0)) && (F[11.0,17.0](x >= -8.0)))	470	468	459	451	432	416	408	405	418	398	375	368	376	369	78	379	52	73	372	48	452	442	443	461	454	409	423	417	406	401	369	368	368	55	0	197	92	146	73	94
((x < -9.0) || (x >= 5.0))	-11	-9	0	8	27	11	3	0	13	-7	73	65	75	72	62	78	62	63	71	62	199	200	191	194	192	200	197	78	199	195	199	65	65	78	197	0	62	62	-7	63
((G[2.0,19.0](x < 12.0)) || (F[9.0,19.0](x < 5.0)))	54	56	65	73	92	108	116	119	106	126	8	51	3	3	0	43	107	92	33	107	0	80	1	-14	58	109	27	101	46	111	3	65	108	67	92	65	0	0	27	46
((G[2.0,19.0](x < 12.0)) || (G[13.0,14.0](x < 13.0)))	100	102	111	119	138	154	162	165	152	172	0	66	61	-5	-1	64	62	65	122	34	125	129	118	102	119	164	146	174	163	172	125	111	154	64	146	111	-1	-1	146	65
((F[11.0,17.0](x >= -8.0)) || (x >= 12.0))	72	70	61	53	34	18	10	7	20	0	19	65	24	24	62	55	52	63	-6	48	85	79	92	41	101	42	0	54	49	42	85	65	65	78	73	7	62	19	0	49
((G[3.0,9.0](x >= -13.0)) || (F[16.0,19.0](x >= 11.0)))	150	148	139	131	112	96	88	85	98	78	103	137	105	104	15	3	-18	0	79	-20	106	94	173	185	182	61	81	135	0	123	106	139	137	99	94	85	15	15	78	0
